Story ID,User Story,Assigned To,Status,Priority,Sprint,Date Completed
US-005,As a Parent I want to add my children to my profile so I can book activities for them,Mohd Sharjeel,Completed,High,Sprint 1,2024-11-18
US-006,As a Tutor I want to mark attendance for my assigned activities,Mohd Sharjeel,Completed,Medium,Sprint 2,2024-12-01
US-007,As a Parent I want to view my child's attendance history,Mohd Sharjeel,Completed,Medium,Sprint 2,2024-12-08
US-008,As a Tutor I want to view enrollment lists for my activities,Mohd Sharjeel,Completed,Low,Sprint 3,2024-12-12
